,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,income_to_debt,late_payment_flag,"age_group_(30, 40]","age_group_(40, 50]","age_group_(50, 60]","age_group_(60, 100]",SeriousDlqin2yrs,default_probability,risk_score
51448,0.304881374,50,0,0.119923095,4160.0,3,0,0,0,0.0,3714.540773891264,0,False,True,False,False,0,0.01,1.0
47316,0.01717531,66,0,0.034224161,7333.0,7,0,0,0,1.0,7090.339093325436,0,False,False,False,True,0,0.0,0.0
148268,0.008522369,63,0,5.0,5400.0,8,0,2,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
76793,0.012287803,59,0,5.0,5400.0,8,0,0,0,0.0,900.0,0,False,False,True,False,0,0.0,0.0
63652,0.053829041,58,0,0.034691713,6600.0,9,0,0,0,1.0,6378.7115689405355,0,False,False,True,False,0,0.04,4.0
131850,0.9999999,50,1,0.177332682,2046.0,2,0,0,0,0.0,1737.8265559776585,1,False,True,False,False,0,0.3,30.0
53961,0.9999999,34,1,0.25464191,4900.0,4,1,0,1,4.0,3905.496828174662,1,True,False,False,False,0,0.63,63.0
30440,0.005432605,71,0,0.002920561,3423.0,7,0,0,0,0.0,3413.0320317563014,0,False,False,False,True,0,0.01,1.0
94763,0.102513808,64,0,0.586863317,5830.0,13,0,3,0,0.0,3673.914405571957,0,False,False,False,True,0,0.0,0.0
121434,0.999257463,73,0,0.855211513,4585.0,11,0,2,0,1.0,2471.4163144588033,0,False,False,False,True,0,0.02,2.0
29180,0.127467148,47,0,0.484841213,12500.0,13,0,1,0,2.0,8418.408574978044,0,False,True,False,False,0,0.01,1.0
58439,0.565297647,26,2,1.078431373,764.0,6,0,0,1,0.0,367.5849055806184,1,False,False,False,False,0,0.33,33.0
72818,0.701808089,37,0,0.616345914,4000.0,7,0,1,0,1.0,2474.7177973192192,0,True,False,False,False,0,0.01,1.0
38713,0.051799137,62,0,0.008544653,10883.0,4,0,0,0,1.0,10790.79638926012,0,False,False,False,True,0,0.0,0.0
70736,0.046359422,26,0,5.0,5400.0,4,0,0,0,0.0,900.0,0,False,False,False,False,0,0.02,2.0
2964,0.536747939,62,0,0.761082326,3473.0,12,0,1,0,0.0,1972.0827065980106,0,False,False,False,True,0,0.03,3.0
50853,0.0,65,0,5.0,5400.0,5,0,1,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
132789,0.0,48,0,0.21228319,9166.0,6,0,1,0,3.0,7560.939618407148,0,False,True,False,False,0,0.0,0.0
127051,0.170475493,40,1,5.0,5400.0,12,0,4,0,2.0,900.0,1,True,False,False,False,0,0.15,15.0
125124,0.262862488,30,0,0.228489825,2800.0,6,0,0,0,0.0,2279.2211567564264,0,False,False,False,False,0,0.02,2.0
86804,0.349301868,60,0,0.265962005,7000.0,14,0,0,0,2.0,5529.391855642619,0,False,False,True,False,1,0.02,2.0
87249,0.676832871,44,0,5.0,5400.0,7,0,1,0,0.0,900.0,0,False,True,False,False,0,0.03,3.0
100331,0.013276865,37,0,0.436867068,7800.0,8,0,2,0,1.0,5428.477117828968,0,True,False,False,False,0,0.0,0.0
74618,0.524318769,45,0,0.610856364,8068.0,12,0,3,0,2.0,5008.5160789668025,0,False,True,False,False,1,0.09,9.0
24342,0.497005988,44,0,5.0,5400.0,5,0,3,0,2.0,900.0,0,False,True,False,False,0,0.02,2.0
65425,0.518856861,52,0,0.782584985,5500.0,16,0,1,0,0.0,3085.406892956635,0,False,False,True,False,0,0.1,10.0
107348,0.640371686,70,0,0.245011135,22900.0,16,0,2,0,1.0,18393.40979066826,0,False,False,False,True,0,0.01,1.0
17478,0.9999999,38,0,0.027486257,2000.0,0,2,0,0,2.0,1946.4980542313958,0,True,False,False,False,0,0.46,46.0
46127,0.382042618,39,0,5.0,5400.0,5,0,0,0,2.0,900.0,0,True,False,False,False,0,0.01,1.0
68612,0.124943804,70,1,5.0,5400.0,11,0,0,0,0.0,900.0,1,False,False,False,True,0,0.09,9.0
99975,0.34708449,28,0,0.39017341,1037.0,4,0,0,0,0.0,745.9501041672204,0,False,False,False,False,0,0.0,0.0
91940,0.953003133,44,0,5.0,5400.0,3,0,0,0,0.0,900.0,0,False,True,False,False,1,0.04,4.0
109296,0.531049379,42,0,0.150986274,11000.0,4,0,1,0,0.0,9557.021007532883,0,False,True,False,False,0,0.06,6.0
19559,0.073646318,74,0,5.0,5400.0,10,0,1,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
25857,0.30770086,39,1,1.660974594,2400.0,14,0,2,0,3.0,901.9251838824584,1,True,False,False,False,0,0.13,13.0
129515,0.477746202,47,2,5.0,250.0,14,0,2,0,0.0,41.666666666666664,1,False,True,False,False,0,0.28,28.0
93234,0.06112046,59,1,0.464032884,4378.0,7,0,1,1,1.0,2990.3699895309187,1,False,False,True,False,0,0.13,13.0
148345,0.010361757,42,0,0.131855467,14750.0,9,0,1,0,2.0,13031.69921429553,0,False,True,False,False,0,0.0,0.0
88937,0.9999999,38,0,0.355548151,3000.0,3,0,1,0,0.0,2213.126843031635,0,True,False,False,False,0,0.23,23.0
119174,0.170633564,40,1,0.125570953,12916.0,11,0,1,0,0.0,11475.065135231862,1,True,False,False,False,0,0.01,1.0
133571,0.987004332,57,3,0.363998861,3510.0,6,0,0,0,1.0,2573.315931823201,1,False,False,True,False,1,0.34,34.0
149931,0.005859153,66,0,5.0,5400.0,10,0,1,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
105594,0.293069444,44,0,1.322233105,4083.0,10,0,2,1,3.0,1758.2214254068176,0,False,True,False,False,0,0.18,18.0
47537,0.005865885,85,0,5.0,5400.0,3,0,1,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
52294,0.547545355,45,0,0.593575877,6101.0,12,0,1,0,5.0,3828.496708600716,0,False,True,False,False,0,0.06,6.0
104323,0.059884003,83,0,0.008453777,7333.0,4,0,0,0,0.0,7271.528122800615,0,False,False,False,True,0,0.0,0.0
40485,0.206176405,25,1,5.0,5400.0,9,0,0,0,0.0,900.0,1,False,False,False,False,0,0.2,20.0
26159,0.148371706,64,0,0.055164143,6670.0,4,0,0,0,0.0,6321.291378454281,0,False,False,False,True,0,0.01,1.0
22086,0.9999999,41,0,0.091143998,4256.0,2,5,0,0,2.0,3900.4934342314004,0,False,True,False,False,0,0.73,73.0
130233,0.195878007,40,0,0.264455924,6000.0,13,0,1,0,2.0,4745.123879857753,0,True,False,False,False,0,0.0,0.0
31300,0.119289639,36,0,5.0,5400.0,7,0,1,0,0.0,900.0,0,True,False,False,False,0,0.0,0.0
96335,0.405041484,59,0,5.0,5400.0,4,0,1,0,0.0,900.0,0,False,False,True,False,0,0.0,0.0
32775,0.318178788,42,0,0.479822288,2700.0,4,0,1,0,2.0,1824.5434076067922,0,False,True,False,False,0,0.0,0.0
118381,0.031799205,63,0,0.279160949,5100.0,4,0,1,0,1.0,3986.98850522836,0,False,False,False,True,0,0.0,0.0
85119,0.0,87,0,0.094830049,3500.0,4,0,1,0,0.0,3196.8432024649333,0,False,False,False,True,0,0.0,0.0
45537,0.035754551,77,0,5.0,5400.0,17,0,1,1,0.0,900.0,0,False,False,False,True,0,0.07,7.0
119463,0.017627416,72,0,0.00559888,5000.0,3,0,0,0,0.0,4972.161464618975,0,False,False,False,True,0,0.02,2.0
131329,0.026931381,65,0,0.735044929,3894.0,9,0,3,0,1.0,2244.322285212708,0,False,False,False,True,0,0.01,1.0
88923,0.198403225,44,0,0.391304348,4116.0,9,0,2,0,1.0,2958.374999630203,0,False,True,False,False,0,0.02,2.0
90076,0.022300271,41,0,0.011197014,3750.0,5,0,0,0,1.0,3708.476140733541,0,False,True,False,False,0,0.03,3.0
83546,0.008449994,62,0,0.010227273,1759.0,13,0,0,0,0.0,1741.1923504860674,0,False,False,False,True,0,0.02,2.0
37280,0.394468368,71,0,0.179048099,3970.0,5,0,1,0,1.0,3367.1230235366334,0,False,False,False,True,0,0.0,0.0
130125,0.065096745,84,0,0.035982009,2000.0,8,0,0,0,0.0,1930.5354558526894,0,False,False,False,True,0,0.0,0.0
37135,0.296489411,45,0,0.531423429,6666.0,7,0,2,0,3.0,4352.813123900562,0,False,True,False,False,0,0.02,2.0
132757,0.027389439,55,0,0.2176,10624.0,8,0,1,0,1.0,8725.361366622865,0,False,False,True,False,0,0.0,0.0
4679,0.282367086,37,0,5.0,5400.0,8,0,1,0,0.0,900.0,0,True,False,False,False,0,0.0,0.0
91970,0.9999999,98,0,0.0,5400.0,4,0,0,0,0.0,5400.0,0,False,False,False,True,0,0.0,0.0
64409,0.355522886,57,0,0.256354314,9166.0,10,0,2,0,0.0,7295.712601023472,0,False,False,True,False,0,0.01,1.0
142018,0.446607119,58,0,0.545434348,4500.0,8,0,1,1,0.0,2911.8027600613414,0,False,False,True,False,0,0.06,6.0
2047,0.9999999,53,1,0.218541709,4950.0,3,3,1,0,2.0,4062.232719192052,1,False,False,True,False,0,0.56,56.0
11098,0.0,34,0,0.501916347,6000.0,12,0,2,0,0.0,3994.8962616890676,0,True,False,False,False,0,0.01,1.0
55756,0.0,69,0,5.0,5400.0,5,0,1,0,0.0,900.0,0,False,False,False,True,0,0.003333333333333333,0.0
73621,0.432386999,64,0,1.0737584,6100.0,14,0,3,0,0.0,2941.519127782677,0,False,False,False,True,0,0.04,4.0
132769,0.170264718,62,0,5.0,5400.0,10,0,1,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
3056,0.138076605,55,0,0.261372398,3890.0,12,0,0,0,0.0,3083.9425423989655,0,False,False,True,False,0,0.0,0.0
36664,0.036384081,64,0,0.014991671,1800.0,4,0,0,0,0.0,1773.4135672528096,0,False,False,False,True,0,0.0,0.0
92025,0.659597941,61,0,0.744095365,8975.0,18,0,2,1,0.0,5145.934207559803,0,False,False,False,True,1,0.15,15.0
27193,0.9999999,43,0,0.000555401,3600.0,7,0,0,0,1.0,3598.0016662765483,0,False,True,False,False,0,0.09,9.0
19792,0.777068911,56,1,0.340059995,7333.0,11,0,1,0,0.0,5472.143058788946,1,False,False,True,False,0,0.09,9.0
39544,0.109088192,71,0,0.374955742,8472.0,12,0,3,0,1.0,6161.652874496668,0,False,False,False,True,0,0.0,0.0
97967,0.653993022,46,1,1.712633452,3371.0,14,0,2,0,0.0,1242.703837304149,1,False,True,False,False,0,0.14,14.0
16253,0.197626601,25,0,0.031989337,3000.0,6,0,0,0,1.0,2907.0067804392443,0,False,False,False,False,0,0.03,3.0
116182,0.460497942,34,0,0.182020183,10800.0,10,0,1,0,1.0,9136.899822293473,0,True,False,False,False,0,0.0,0.0
43416,0.921346308,65,1,0.059227468,6989.0,2,0,0,0,0.0,6598.205023134842,1,False,False,False,True,0,0.11,11.0
147145,0.024176542,54,0,0.221024259,11500.0,12,0,1,0,4.0,9418.32229395534,0,False,False,True,False,0,0.01,1.0
127802,0.031258248,57,0,0.397520496,5000.0,15,0,2,0,0.0,3577.765059125115,0,False,False,True,False,0,0.04,4.0
14159,0.012981241,70,0,0.003620066,5800.0,17,0,0,0,0.0,5779.079351328952,0,False,False,False,True,0,0.0,0.0
30686,0.788011157,36,0,0.258359873,5023.0,6,0,0,0,2.0,3991.703889941188,0,True,False,False,False,0,0.03,3.0
23779,0.0,34,0,0.0,4220.0,7,0,0,0,0.0,4220.0,0,True,False,False,False,0,0.01,1.0
128533,0.007930722,80,0,0.223203906,4300.0,9,0,1,0,1.0,3515.3582970981784,0,False,False,False,True,0,0.0,0.0
42054,0.135227031,51,0,0.22293991,5108.0,9,0,0,0,4.0,4176.820102305763,0,False,False,True,False,0,0.02,2.0
73731,0.223222551,55,1,0.180174431,4700.0,11,0,0,0,0.0,3982.4621484279555,1,False,False,True,False,0,0.03,3.0
65203,0.412743397,33,0,0.359140859,6005.0,10,0,1,0,0.0,4418.232268006594,0,True,False,False,False,0,0.0,0.0
149766,0.984793251,33,0,0.784710018,1137.0,3,0,1,0,0.0,637.0782864065259,0,True,False,False,False,0,0.03,3.0
92877,0.194345196,76,1,0.235065943,11600.0,25,0,1,0,0.0,9392.211052167277,1,False,False,False,True,0,0.09,9.0
107326,0.649155304,56,0,1.79989596,17300.0,12,0,0,0,2.0,6178.801015163435,0,False,False,True,False,0,0.24,24.0
70978,0.098271626,46,0,0.167380748,3500.0,6,0,0,0,0.0,2998.164914057671,0,False,True,False,False,0,0.01,1.0
58360,0.990181253,61,0,5.0,5400.0,11,0,2,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
39929,0.045186097,42,0,0.095278823,5845.0,10,0,0,0,0.0,5336.540684672766,0,False,True,False,False,0,0.0,0.0
64415,0.246468424,61,5,0.357107149,6000.0,24,0,1,0,0.0,4421.16895811887,1,False,False,False,True,1,0.14,14.0
107155,0.001230706,70,0,0.003198721,2500.0,10,0,0,0,0.0,2492.028695479168,0,False,False,False,True,0,0.0,0.0
32824,0.0,53,0,1.028932141,1900.0,8,0,1,0,0.0,936.4532019604887,0,False,False,True,False,0,0.0,0.0
96074,0.827968923,33,2,5.0,5400.0,11,1,2,2,0.0,900.0,1,True,False,False,False,1,0.65,65.0
107062,0.208635324,55,0,0.345681036,6100.0,8,0,2,0,4.0,4533.020706104385,0,False,False,True,False,0,0.0,0.0
20355,0.063916697,49,0,0.382861714,10000.0,11,0,3,0,2.0,7231.381054779856,0,False,True,False,False,0,0.0,0.0
101434,0.09914542,59,2,0.30308417,11250.0,9,0,2,0,2.0,8633.36402897136,1,False,False,True,False,0,0.0,0.0
38466,0.9999999,62,0,5.0,5400.0,3,0,1,0,0.0,900.0,0,False,False,False,True,0,0.05583333333333334,6.0
82820,1.064387123,51,2,0.693641618,2940.0,6,0,1,1,1.0,1735.9044373695829,1,False,False,True,False,1,0.54,54.0
144200,0.0059831,64,0,0.126387361,10000.0,20,0,1,0,0.0,8877.940525825912,0,False,False,False,True,0,0.0,0.0
74610,0.9999999,60,0,5.0,5400.0,2,0,1,0,0.0,900.0,0,False,False,True,False,0,0.005,0.0
74688,0.662063187,44,1,0.384286311,9583.0,11,0,2,0,3.0,6922.7008342496,1,False,True,False,False,0,0.06,6.0
43592,0.018656841,43,0,5.0,5400.0,11,0,2,1,2.0,900.0,0,False,True,False,False,0,0.02,2.0
126802,0.693620259,40,1,0.27398702,5700.0,4,1,1,0,1.0,4474.142915522012,1,True,False,False,False,0,0.41,41.0
15464,0.9999999,32,1,0.446166621,7225.0,6,0,0,0,1.0,4995.9665055773685,1,True,False,False,False,1,0.21,21.0
54845,0.320021117,55,1,5.0,5400.0,5,0,1,0,0.0,900.0,1,False,False,True,False,0,0.06,6.0
40178,0.384348038,63,0,0.149640041,5833.0,5,0,0,0,0.0,5073.762040269786,0,False,False,False,True,0,0.01,1.0
114789,0.086276092,40,0,0.210357928,5000.0,8,0,0,0,2.0,4131.009418232191,0,True,False,False,False,0,0.0,0.0
143720,0.00163109,37,0,0.0,1333.0,2,0,0,0,0.0,1333.0,0,True,False,False,False,0,0.01,1.0
2783,0.032583137,31,0,0.068563593,5833.0,8,0,0,0,0.0,5458.729867095519,0,True,False,False,False,0,0.0,0.0
22583,0.078258786,55,1,0.234423122,8441.0,16,0,2,0,0.0,6838.01190172457,1,False,False,True,False,0,0.05,5.0
36908,0.171814586,41,0,0.333396819,10500.0,9,0,2,0,2.0,7874.625055633945,0,False,True,False,False,0,0.0,0.0
31495,0.069209342,48,0,5.0,5400.0,4,0,0,0,0.0,900.0,0,False,True,False,False,0,0.0,0.0
78268,0.358715553,52,0,0.273272905,8163.0,5,0,2,0,0.0,6411.037231645168,0,False,False,True,False,0,0.08,8.0
83612,0.024848758,67,0,5.0,5400.0,3,0,0,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
18902,0.535453553,47,0,0.299685016,20000.0,14,0,1,0,1.0,15388.343909321487,0,False,True,False,False,0,0.07,7.0
119313,0.985734284,52,1,0.471827031,10683.0,7,0,4,0,0.0,7258.325723737846,1,False,False,True,False,0,0.11,11.0
136196,0.9999999,47,0,0.262403031,11085.0,5,0,2,0,3.0,8780.872453402719,0,False,True,False,False,0,0.01,1.0
86470,0.032126805,49,0,0.007657945,4700.0,6,0,0,0,1.0,4664.281191173459,0,False,True,False,False,0,0.02,2.0
58211,0.011495452,57,0,0.003479722,8333.0,6,0,0,0,0.0,8304.1040265286,0,False,False,True,False,0,0.0,0.0
67183,0.212192942,46,0,0.987493203,1838.0,8,0,1,0,0.0,924.7830368554976,0,False,True,False,False,0,0.02,2.0
94603,0.0,62,0,0.0,5644.0,1,0,0,0,0.0,5644.0,0,False,False,False,True,0,0.0,0.0
102162,0.055379665,43,0,0.832333619,3500.0,13,0,2,0,2.0,1910.1325019131248,0,False,True,False,False,0,0.04,4.0
29455,0.073697186,57,0,0.344101529,10400.0,7,0,2,0,0.0,7737.510727881926,0,False,False,True,False,0,0.0,0.0
131314,0.644369301,57,0,0.992228894,5661.0,11,0,2,0,0.0,2841.540957993956,0,False,False,True,False,0,0.13,13.0
121180,0.056879398,69,0,0.248937766,4000.0,9,0,1,0,1.0,3202.7216318479072,0,False,False,False,True,0,0.0,0.0
80104,0.0,36,0,0.211589113,3416.0,4,0,1,0,0.0,2819.43768175804,0,True,False,False,False,0,0.0,0.0
31561,1.043182727,58,2,5.0,5400.0,5,2,0,2,3.0,900.0,1,False,False,True,False,0,0.63,63.0
112256,0.95802099,23,1,5.0,5400.0,2,0,0,0,0.0,900.0,1,False,False,False,False,0,0.37,37.0
79524,0.712920546,55,0,0.44347898,12083.0,15,0,1,0,4.0,8370.748841801631,0,False,False,True,False,0,0.06,6.0
69597,0.184058707,67,0,0.239969624,7900.0,13,0,2,0,1.0,6371.123813916913,0,False,False,False,True,0,0.0,0.0
148932,0.0,60,0,5.0,5400.0,11,0,1,0,0.0,900.0,0,False,False,True,False,0,0.0,0.0
105372,0.04560715,59,0,0.774553571,3583.0,13,0,2,0,0.0,2019.099371556814,0,False,False,True,False,0,0.01,1.0
55949,0.219992667,72,0,0.432532751,4579.0,7,0,1,0,0.0,3196.4365190279686,0,False,False,False,True,0,0.04,4.0
76265,0.021158206,57,0,0.13758777,11250.0,15,0,1,0,0.0,9889.346823762002,0,False,False,True,False,0,0.01,1.0
143120,0.950166113,49,0,0.098757952,3300.0,2,0,0,1,3.0,3003.3912327944636,0,False,True,False,False,1,0.21,21.0
55857,0.00118527,62,0,0.23651572,10400.0,7,0,1,0,1.0,8410.730111866269,0,False,False,False,True,0,0.0,0.0
23635,0.9999999,39,0,0.12664978,7500.0,3,0,0,0,0.0,6656.904508515504,0,True,False,False,False,0,0.1,10.0
8850,0.052358939,59,0,0.141473082,9082.0,4,0,1,0,0.0,7956.385606647183,0,False,False,True,False,0,0.0,0.0
113160,0.235503014,63,0,0.05164945,3000.0,5,0,0,0,0.0,2852.661597455312,0,False,False,False,True,0,0.0,0.0
136345,0.9999999,45,0,0.445353815,15883.0,7,0,1,0,1.0,10989.00479257392,0,False,True,False,False,0,0.06,6.0
123864,0.016084014,46,0,5.0,5400.0,5,0,1,0,0.0,900.0,0,False,True,False,False,0,0.0,0.0
109521,0.170755753,36,0,0.070385476,7600.0,4,0,0,0,0.0,7100.245818357872,0,True,False,False,False,0,0.01,1.0
139893,0.968080935,54,0,0.620920112,6433.0,4,0,1,0,1.0,3968.7335312673326,0,False,False,True,False,1,0.01,1.0
44611,0.0,59,0,0.133923788,28000.0,11,0,2,0,2.0,24693.017552251935,0,False,False,True,False,0,0.04,4.0
97442,0.774276625,64,0,0.288611017,2958.0,4,0,0,0,0.0,2295.494886336208,0,False,False,False,True,0,0.02,2.0
93915,0.018201167,24,0,0.004403901,3178.0,6,0,0,0,0.0,3164.0657676019914,0,False,False,False,False,0,0.02,2.0
56901,0.255138441,67,3,0.294661775,19350.0,11,0,3,0,0.0,14945.988499583222,1,False,False,False,True,0,0.1,10.0
113743,0.0,50,0,0.378817014,13000.0,6,0,2,0,4.0,9428.3721973277,0,False,True,False,False,0,0.02,2.0
103165,0.0,69,2,0.300485576,3500.0,12,0,1,0,0.0,2691.302437021416,1,False,False,False,True,0,0.06,6.0
141828,0.0,33,0,5.0,5400.0,6,0,2,0,0.0,900.0,0,True,False,False,False,0,0.0,0.0
102941,0.104689298,54,0,0.036960647,12120.0,24,0,0,1,0.0,11688.003816792867,0,False,False,True,False,0,0.25,25.0
129214,0.10045877,35,0,0.069554277,5563.0,4,0,0,0,0.0,5201.232064261102,0,True,False,False,False,0,0.0,0.0
110999,0.658286728,54,0,0.172602108,13000.0,9,0,0,0,1.0,11086.454570828726,0,False,False,True,False,0,0.09,9.0
101037,0.310518247,60,0,0.360493019,9167.0,23,0,1,0,0.0,6737.998557859561,0,False,False,True,False,0,0.05,5.0
41827,0.753324668,33,0,0.339441899,2400.0,6,0,1,0,1.0,1791.7910450552508,0,True,False,False,False,0,0.04,4.0
100204,0.563218391,45,0,0.364115615,5500.0,3,0,1,0,3.0,4031.9163123134545,0,False,True,False,False,0,0.05,5.0
46348,0.023798413,41,0,0.14244065,2400.0,3,0,0,0,0.0,2100.765584627963,0,False,True,False,False,0,0.02,2.0
68973,0.9999999,34,2,0.249401523,4594.0,7,1,1,0,0.0,3676.9604610126603,1,True,False,False,False,1,0.58,58.0
105694,0.440924588,66,0,0.530794661,8166.0,10,0,2,0,0.0,5334.48424406283,0,False,False,False,True,0,0.01,1.0
97411,0.020326776,25,0,0.102463406,2800.0,6,0,0,0,0.0,2539.766839208811,0,False,False,False,False,0,0.0,0.0
90163,0.0,24,0,0.633373934,820.0,5,0,0,0,0.0,502.02833713152665,0,False,False,False,False,0,0.01,1.0
34043,0.905570292,36,0,0.259267195,4666.0,8,1,0,0,0.0,3705.329590516332,0,True,False,False,False,0,0.2,20.0
39969,0.017724782,73,1,0.247635513,9832.0,14,0,1,0,0.0,7880.506684487105,1,False,False,False,True,0,0.0,0.0
112524,0.166941329,56,0,0.263096495,18000.0,10,0,3,0,2.0,14250.69269945207,0,False,False,True,False,0,0.02,2.0
135328,0.0,28,0,0.08788005,2400.0,4,0,0,0,0.0,2206.1255742303574,0,False,False,False,False,0,0.04,4.0
141162,0.048758356,52,0,0.696748351,4243.0,8,0,1,0,2.0,2500.6654625592146,0,False,False,True,False,0,0.01,1.0
24777,0.393116514,44,0,5.0,5400.0,8,0,1,0,0.0,900.0,0,False,True,False,False,0,0.0,0.0
117158,0.798650169,43,3,1.100030221,3308.0,7,0,1,0,1.0,1575.2154263879045,1,False,True,False,False,0,0.28,28.0
146954,0.525839735,56,0,0.494633142,6800.0,7,0,2,0,2.0,4549.611412269887,0,False,False,True,False,0,0.01,1.0
124523,0.433919202,58,0,0.288847627,8616.0,4,0,1,0,2.0,6685.0415980166135,0,False,False,True,False,0,0.01,1.0
90280,0.260852485,33,0,0.36573362,3250.0,15,0,0,0,0.0,2379.673424163052,0,True,False,False,False,0,0.05,5.0
134560,0.004015094,62,0,0.000723415,4146.0,10,0,0,0,0.0,4143.002889564646,0,False,False,False,True,0,0.01,1.0
17188,0.0,58,0,5.0,5400.0,5,0,0,0,0.0,900.0,0,False,False,True,False,0,0.0,0.0
30485,0.0,81,0,5.0,5400.0,8,0,0,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
113082,0.796165298,53,0,0.614919254,20000.0,27,0,4,0,4.0,12384.520124125042,0,False,False,True,False,0,0.16,16.0
89,0.080564168,60,0,0.487288997,4916.0,15,0,2,0,0.0,3305.3428149579727,0,False,False,True,False,0,0.02,2.0
126065,0.030031289,81,0,0.013493253,2000.0,5,0,0,0,0.0,1973.372781791967,0,False,False,False,True,0,0.0,0.0
109072,0.017929421,69,0,0.159284072,10000.0,13,0,1,0,0.0,8626.013452205872,0,False,False,False,True,0,0.0,0.0
3787,0.9999999,37,0,0.282190132,3323.0,5,3,1,3,2.0,2591.6593156248064,0,True,False,False,False,0,0.69,69.0
132810,0.0,44,0,5.0,5400.0,5,0,1,0,2.0,900.0,0,False,True,False,False,0,0.0,0.0
19030,0.163257537,45,0,5.0,5400.0,13,0,2,0,0.0,900.0,0,False,True,False,False,0,0.0,0.0
32168,0.166069516,43,0,0.624890036,17050.0,18,0,3,0,3.0,10493.01775643358,0,False,True,False,False,1,0.05,5.0
101023,0.9999999,48,0,0.216534071,2890.0,6,0,0,0,0.0,2375.601365298712,0,False,True,False,False,0,0.12,12.0
56716,0.021020397,79,0,0.013064133,2525.0,8,0,0,0,0.0,2492.438452561423,0,False,False,False,True,0,0.0,0.0
99848,0.077772768,46,5,5.0,5400.0,9,0,0,0,0.0,900.0,1,False,True,False,False,0,0.08,8.0
72831,0.046772308,41,0,0.531617096,4000.0,7,0,2,0,2.0,2611.6187984885228,0,False,True,False,False,0,0.03,3.0
141536,0.016570903,91,0,5.0,5400.0,3,0,0,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
136420,0.427145709,24,0,5.0,0.0,3,0,0,0,0.0,0.0,0,False,False,False,False,0,0.01,1.0
149687,0.356816592,67,0,5.0,5400.0,4,0,2,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
84836,0.069411799,66,0,5.0,0.0,9,0,1,0,0.0,0.0,0,False,False,False,True,0,0.01,1.0
42492,0.9999999,62,1,0.355081967,3049.0,2,0,0,0,2.0,2250.0483913531407,1,False,False,False,True,0,0.2,20.0
135000,0.292682927,58,0,0.366480079,3036.0,7,0,1,0,1.0,2221.766747029175,0,False,False,True,False,0,0.0,0.0
58797,0.412205259,55,3,0.518883415,7916.0,20,0,5,1,0.0,5211.723244736332,1,False,False,True,False,0,0.19,19.0
78164,0.514842822,30,0,5.0,5400.0,18,0,0,0,0.0,900.0,0,False,False,False,False,0,0.17,17.0
67150,0.574966988,43,1,1.150631044,6100.0,20,0,2,0,3.0,2836.3768006689297,1,False,True,False,False,0,0.28,28.0
116479,0.0,42,0,0.511785942,9417.0,6,0,2,0,3.0,6229.0564678369,0,False,True,False,False,0,0.02,2.0
103499,0.9999999,48,0,0.11410382,4083.0,1,0,0,0,0.0,3664.829010280209,0,False,True,False,False,0,0.12,12.0
121248,0.402148222,64,0,5.0,5400.0,14,0,3,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
99619,0.944657955,24,0,5.0,0.0,4,0,1,0,0.0,0.0,0,False,False,False,False,0,0.08,8.0
50602,0.009246513,65,1,0.215291107,6251.0,9,0,1,0,0.0,5143.623584501388,1,False,False,False,True,0,0.01,1.0
54397,0.309373254,54,1,5.0,5400.0,16,0,2,0,0.0,900.0,1,False,False,True,False,1,0.08,8.0
135596,0.054828341,56,0,0.32808399,8381.0,14,0,2,0,0.0,6310.594859290488,0,False,False,True,False,0,0.04,4.0
143210,0.025615312,59,0,0.413643411,3224.0,9,0,0,0,0.0,2280.631717244286,0,False,False,True,False,0,0.01,1.0
124458,0.062006448,54,0,0.002836157,13750.0,2,0,0,0,0.0,13711.113130517093,0,False,False,True,False,0,0.01,1.0
41165,0.001551657,36,0,0.41986456,5758.0,9,0,1,0,0.0,4055.3163746829487,0,True,False,False,False,0,0.01,1.0
56281,0.973901188,67,0,0.150784922,10000.0,8,0,0,0,0.0,8689.721084128005,0,False,False,False,True,0,0.02,2.0
143804,0.150299383,25,0,0.2290024,2916.0,7,0,0,0,1.0,2372.656066416144,0,False,False,False,False,0,0.04,4.0
116449,0.012076183,55,0,0.230589803,3000.0,8,0,1,0,0.0,2437.855402902278,0,False,False,True,False,0,0.01,1.0
131440,0.51918104,35,0,0.458725004,5850.0,7,0,2,0,3.0,4010.351494598772,0,True,False,False,False,0,0.06,6.0
